# nu(cm-1)        I    I_pol
    1300.0  0.09231  0.06621
    1300.5  0.09189  0.06621
    1301.0  0.09149  0.06621
    1301.5  0.09110  0.06621
    1302.0  0.09071  0.06621
    1302.5  0.09034  0.06621
    1303.0  0.08997  0.06621
    1303.5  0.08962  0.06621
    1304.0  0.08927  0.06621
    1304.5  0.08893  0.06621
    1305.0  0.08860  0.06621
    1305.5  0.08828  0.06621
    1306.0  0.08797  0.06621
    1306.5  0.08766  0.06621
    1307.0  0.08736  0.06621
    1307.5  0.08706  0.06621
    1308.0  0.08677  0.06621
    1308.5  0.08649  0.06621
    1309.0  0.08622  0.06621
    1309.5  0.08595  0.06621
    1310.0  0.08568  0.06621
    1310.5  0.08542  0.06621
    1311.0  0.08517  0.06621
    1311.5  0.08492  0.06621
    1312.0  0.08468  0.06621
    1312.5  0.08444  0.06621
    1313.0  0.08421  0.06621
    1313.5  0.08398  0.06621
    1314.0  0.08375  0.06621
    1314.5  0.08353  0.06621
    1315.0  0.08331  0.06621
    1315.5  0.08310  0.06621
    1316.0  0.08289  0.06621
    1316.5  0.08269  0.06621
    1317.0  0.08249  0.06621
    1317.5  0.08229  0.06621
    1318.0  0.08209  0.06621
    1318.5  0.08190  0.06621
    1319.0  0.08172  0.06621
    1319.5  0.08153  0.06621
    1320.0  0.08135  0.06621
    1320.5  0.08117  0.06621
    1321.0  0.08100  0.06621
    1321.5  0.08083  0.06621
    1322.0  0.08066  0.06621
    1322.5  0.08049  0.06621
    1323.0  0.08033  0.06621
    1323.5  0.08017  0.06621
    1324.0  0.08001  0.06621
    1324.5  0.07986  0.06621
    1325.0  0.07971  0.06621
    1325.5  0.07956  0.06621
    1326.0  0.07941  0.06621
    1326.5  0.07927  0.06621
    1327.0  0.07912  0.06621
    1327.5  0.07898  0.06621
    1328.0  0.07885  0.06621
    1328.5  0.07871  0.06621
    1329.0  0.07858  0.06621
    1329.5  0.07844  0.06621
    1330.0  0.07831  0.06621
    1330.5  0.07819  0.06621
    1331.0  0.07806  0.06621
    1331.5  0.07794  0.06621
    1332.0  0.07782  0.06621
    1332.5  0.07770  0.06621
    1333.0  0.07758  0.06621
    1333.5  0.07746  0.06621
    1334.0  0.07735  0.06621
    1334.5  0.07724  0.06621
    1335.0  0.07712  0.06621
    1335.5  0.07702  0.06621
    1336.0  0.07691  0.06621
    1336.5  0.07680  0.06621
